,article,dataset,Faithful Summary,Generic Summary
0,"Siem de Jong played 45 minutes for Newcastle Under 21s on his comeback from a collapsed lung. The 26-year-old made way at the break after coming through the first half of United's 2-0 defeat to Derby County at St James' Park. De Jong has made just one Premier League start since his £6million arrival from Ajax last summer. Newcastle midfielder Siem de Jong played 45 minutes for Peter Beardsley's Under 21 side on Wednesday . Farrend Rawson (third from right) is congratulated by his team-mates after scoring at St James' Park . He tore his thigh muscle in September and was days away from returning in February when, for the second time in two years, he suffered a collapsed lung and underwent surgery. De Jong was expected to miss the remainder of the season but now has an outside chance of featuring in the final six matches. However, on the evidence of a subdued half against the Rams, Sunday's visit of Spurs will almost certainly come too soon. Newcastle striker Adam Armstrong (right) is pulled back by Derby's Max Lowe . Armstrong (left) heads a cross towards Derby's goal but his effort flies wide of the post . Meanwhile, forgotten man Facundo Ferreyra replaced De Jong at the break. The 24-year-old Argentinian striker arrived on a season-long loan from Shakhtar Donetsk last summer but is yet to make his senior debut having been plagued by a string of injuries. Derby's victory arrived courtesy of second-half goals from Alefe Santos and Farrend Rawson.",cnndm,"Siem de Jong played 45 minutes for Newcastle Under 21s on his comeback from a collapsed lung, but was substituted at half-time. The midfielder was expected to miss the remainder of the season but now has an outside chance of featuring in the final six matches. However, on the evidence of a subdued half against Derby County, Sunday's visit of Spurs will almost certainly come too soon.","Siem de Jong played 45 minutes for Newcastle United's Under 21s in their 2-0 defeat to Derby County at St James' Park. The midfielder has had a difficult time with injury and only managed one Premier League start since joining the team last summer. De Jong tore his thigh muscle and then suffered a collapsed lung and had surgery, but he may have an outside chance of featuring in the last six matches of the season."
1,"The Liberal Democrats have admitted they are on course to lose at least 20 MPs, but claim this could still be enough to put them back in power. Nick Clegg today continued his tour of 60 seats where the party is defending perilous majorities or hope to make gains, stopping off in Hampshire where the Lib Dems held Eastleigh after Chris Huhne was jailed. But behind the scenes, senior party sources admit their current total of 57 MPs will be slashed to 'in the thirties' after a catastrophic collapse in support. Nick Clegg today continued his tour of 60 seats where the party is defending perilous majorities or hope to make gains, stopping off in Eastleigh in Hampshire . Mr Clegg today admitted that his party was fighting 'tooth and nail' in fewer than a tenth of Westminster seats. Instead of battling to win seats across the country, the party has highly targeted strategy, effectively fighting 60 by-elections in constituencies where his candidates stand a chance. A party source said if the party had a group of MPs numbering 'in the 30s' it could potentially hold the balance of power after May 7 and be able to once again form part of a coalition government. The senior Lib Dem, closely involved in the party's election strategy, said the campaign's focus was increasingly on between 10 and 15 marginal seats - some held by the party and a few targets - with other constituencies either assessed as safe or effectively written off. Assessing the election outcome, the source said: 'Everything is so marginal, we need to get into the 30s and the other parties need to sort themselves out and we will see what the answer is. 'There are now basically two possible outcomes to this election - we can either get a minority government or a coalition with the Lib Dems in it.' Asked if a seat count in the 30s was realistic, the source said: 'Oh yes.' Pressed on whether that was a 'best case' scenario, the senior Lib Dem said: 'I would like to say 150, but I think in fairness you wouldn't believe me. 'There are lots of marginal seats. There's a marginal outcome in 40 seats for us and if we won every one of those marginal contests we would get to 40-odd.' Mr Clegg today admitted that his party was fighting 'tooth and nail' in fewer than a tenth of Westminster seats . Opinion polls by YouGov since 2010 show the dramatic collapse in the Lib Dem support, to barely 8 per cent . The Lib Dems won 57 seats in the 2010 election but have been hit by a slump in popularity after forming the coalition government with the Conservatives. Mr Clegg travelled to Eastleigh, the scene of a 2013 by-election triumph, to spell out the intensity with which the party would fight in its target seats. The Lib Dems have built up a reputation as formidable campaigners in by-election contests, including in the Hampshire seat which they held following the resignation of disgraced former cabinet",cnndm,"The Liberal Democrats are set to lose at least 20 MPs according to senior party sources, leaving them with a potential MP count in the thirties. However, the party believes this could still be enough to hold the balance of power and form part of a coalition government. The party's focus is on between 10 and 15 marginal seats, with other constituencies either classed as safe or written off.","The Liberal Democrats fear that they will lose at least 20 MPs in the May election, reducing their number from 57 to the 30s. However, they maintain that this is enough to hold the balance of power and participate in a coalition government. Nick Clegg has been touring the 60 seats that the party hopes to either hold or make gains in. 
"
2,"If you had £140,000 to splurge, would you splash out on an Aston Martin DB9 Volante or maybe even a three-bedroom detached house in Nottingham? Or, would you rather shell your hard-earned savings on a pink handbag? That is exactly what retailer Vestiaire Collective is hoping for, as they put a Hermes bag on sale for a cool £140,000 on their site. Is this Britain's most expensive handbag? A sade-to-measure pink croc Hermes Birkin bag embellished with rubies has gone on sale for £140,000 . So what do you get for your money? The made-to-measure pink croc Hermes Birkin bag comes embellished with rubies. The rare tote is so exclusive that it can't even be brought in store and experts say it's an extremely good investment. Fanny Moizant, Vestiaire Collective's Brand Communications Director and Head of UK, said: 'Hermes Birkin bags have come to symbolise the epitome of quality, the materials and the impeccable French craftsmanship are second to none. 'The brand has a strong heritage with a controlled supply, which makes it highly desirable for stylish women. This aspirational identity has developed into a strong social status symbol. The limited supply and production of rare colours and skin have made these bags must-have collectors items resulting in an increased value over time, unlike cars, which are known to depreciate in value after leaving the showroom.' With the same amount of money that the handbag costs, you could splash out on an Aston Martin DB9 Volante . Whilst they don't own the exact same bag, Kim Kardashian, left, and Heidi Klum, right, are both the proud owners of pink Hermes Birkin bags . Hermes is one of the most coveted handbags of all time, but with a price tag of around £8,000 the Hermés Birkin bag isn't quite within every fashionista's price range (unless you're Victoria Beckham whose collection is worth a reported £1.5m). Prestigious luggage and accessories firm Hermés, who count many of the world's wealthiest women as fans, is known for luxury leather accessories. Renowned for its immaculate finish and top quality materials, Hermès claims never to use any assembly lines with one craftsperson making a single handbag at a time, hand-stitching individual pieces to create the finished product. The brand is rich in history, and some of its bestselling bags have intriguing stories behind them. The iconic Kelly bag, one of Hermes most popular styles, was originally known as the Sac à dépêches when it was developed by Hermes in 1935. In 1956, a photo of Grace Kelly, who had become the new Princess of Monaco, was pictured carrying the Sac à dépêches to hide her pregnancy. Photographs were sent all over the world and put on the cover of Life magazine. As a result, the bag became known as the Kelly and has been hugely popular ever since. Victoria Beckham and Kim Kardashian are big fans of Hermes ... handbag Victoria reportedly owns a collection worth £1.5m . The Birkin has similarly romantic roots, conceived as it was in honour of French star Jane Birkin. The Birkin was",cnndm,"Vestiaire Collective, a second-hand luxury goods retailer, has put a Hermes Birkin bag on sale for £140,000. The pink croc skin bag is embellished with rubies and it is made-to-measure. Hermes bags are seen as an investment as they are limited in supply and are often a collector's item.","Luxury retailer Vestiaire Collective is selling a hand-made, customised pink croc Hermes Birkin bag adorned with rubies for £140,000. Characterised by Brand Communications Director Fanny Moizant as “the epitome of quality”, experts suggest that high-end bags such as these represent an extremely sound investment which will only appreciate in value over time. In addition to its impeccable craftsmanship, the limited availability of rare colours and skins makes Hermes blocks must-have collectors items."
3,"This is the moment when a not-so-little baby elephant seal emerged from the sea to give a surprised tourist one big cuddle. Charlene Fritz, 35, was visiting Snow Hill Island in the Antarctic Peninsula as part of an expedition when she made an unusual friend on the beach. Despite being no more than two months old, the elephant seal pup is still thought to have weighed around 200lbs, and Ms Fritz had a struggle sitting upright. Scroll down for video . One big cuddle: The elephant seal is thought to have been no more than two months old, but at a whopping 200lbs, Canadian tourist Charlene Fritz still struggled to reciprocate the hug . Making friends: Ms Fritz had the surprise of a lifetime when the baby elephant seal came out of the water for a cuddle during an expedition to Snow Hill Island in the Antarctic Peninsula . Will you be my mummy? Elephant seal pups are abandoned by their mothers at just one month to learn how to take care of themselves . Charlene, from Saskatchewan, Canada, said: 'The seal climbed on top of me without hesitation. We shared a very sweet moment in time I will never forget. 'Her mouth was all pink inside and her eyes were amazing to look into. Like the deepest depths of the sea. I could have stared into her eyes forever.' She added: 'It was made very clear to me that I was in no way allowed to touch her with my hands or approach her. 'She came to me from across the beach and made all of the decisions to cuddle up. I wanted to hug her so badly. 'Physically she felt like a big dough ball, super warm and like she had no bones. She did not smell of fish or have bad breath. She had never even eaten a fish at that point in her life. Rules: Ms Fritz explains that she badly wanted to hug the baby seal, but that regulations on the Antarctic expedition dictated that she in no way touch the pup . 'Sweet moment in time': Ms Fritz described the seal pup's eyes as being 'like the deepest depths of the sea' Crushing: Ms Fritz struggles to sit upright under the weight of the 200lbs baby elephant seal . Two young elephant selas have a rest on the shore of Snow Hill Island, Antarctic Peninsula . Charlene, whose 2011 encounter with the seal was filmed by a friend, had at first wondered why the seal was so friendly but later learned about the harsh weaning process. She said: 'Basically the mother fattens them up with her milk for a month or so, then abandons them on the beach. 'They have never been in the ocean to learn to fish or anything and basically lay there starving until they figure out to take the leap of faith and go into the sea. 'This is why they can be so sweet and looking for love, I guess.' However, an encounter with a full-grown elephant would have been a",cnndm,"A tourist visiting Snow Hill Island in the Antarctic Peninsula formed an unlikely bond with a baby elephant seal weighing approximately 200lbs. The seal, around two months old, crawled onto the woman's lap, and she described the moment as ""sweet"". Elephant seal pups are usually abandoned at only one month old in order to learn how to care for themselves.","Canadian Charlene Fritz had the opportunity of a lifetime while visiting Snow Hill Island in the Antarctic Peninsula as part of an expedition when a 200lb baby elephant seal emerged from the sea and hugged her. At just two months old, the pup had been abandoned by its mother a month earlier to learn how to care for themselves. Regulations prevented her from touching the pup, but the encounter was caught on film and Charlene describing it as a ""sweet moment in time""."
4,"(CNN)Two years ago, the storied Boston Marathon ended in terror and altered the lives of runners, spectators and those who tried to come to their rescue. Just last week, Dzhokhar Tsarnaev was convicted on 30 charges related to the bombings at the race and the dramatic violence that dragged out for days afterward. The jury will begin deliberating his punishment next week. The death penalty is on the table. Dzhokhar and his brother Tamerlan, who was killed in a shootout with police, were intent on terrorizing not just Bostonians, but all Americans, prosecutors said. But the Tsarnaevs were not on the minds of most people in Boston on Wednesday. The injured victims and those who lost their lives were spoken of with reverence in somber ceremonies. Relatives of 8-year-old Martin Richard, the attack's youngest victim, and the family of Krystle Campbell stood with Gov. Charlie Baker and Mayor Martin Walsh. Bagpipes played and banners whipped in the wind on Boylston Street, the Boston Globe reported. Boston University graduate student Lingzi Lu also was killed in one of the two horrific blasts that brought chaos to the competitors and spectators near the race's finish line on April 15, 2013. Who were the victims? Many bombing survivors were in the crowd for Wednesday's events, the newspaper said. They wore white, blue and yellow pins celebrating ""One Boston Day,"" which was created to recognize acts of valor and to encourage kindness among Bostonians. Many there and those who couldn't observe the day in person tweeted their respect and memories using #BostonDay. The marathon historically happens on a Monday. This year, runners will take on the 26.2 mile challenge April 20. ""I think today will always be a little emotional for me -- Marathon Monday is my favorite day of the year, and will continue to be, despite these tragedies,"" Boston resident Lindsey Berkowitz told CNN. ""I have so much respect and support for all of the survivors, and hope the city continues to come together on this day to embrace the strength and resilience of Boston, and the love we all have for this great city."" Melanie DiVasta was working just a mile from the finish line in 2013 when one of the bombs set by the Tsarnaevs exploded. Several of her friends were waiting at the finish line. They were unharmed. ""It was just an overwhelming feeling of shock to start hearing about it and seeing images,"" DiVasta said. ""You couldn't help but cry and just ask why."" What's next for Dzhokhar Tsarnaev? CNN's Jareen Imam contributed to this report.",cnndm,"As the second anniversary of the Boston Marathon bombings pass, citizens come together to remember the victims and show their support. A jury will begin deliberating the punishment this week for convicted bomber, Dzhokhar Tsarnaev. Meanwhile, many Bostonians are celebrating One Boston Day, a day of remembrance and kindness towards each other.","On Wednesday the Boston Marathon bombings victims were remembered in somber ceremonies. Many bombing survivors attended, wearing white, blue and yellow pins celebrating ""One Boston Day,"" which was created to recognise acts of valor and to encourage kindness among Bostonians. &nbsp;During the day Dzhokhar Tsarnaev was also convicted on 30 charges related to the bombings at the race and the jury will begin deliberating his punishment next week with death penalty on the table."
5,"Democratic presidential candidate Hillary Clinton enjoyed some downtime with husband Bill on Saturday afternoon, taking a stroll near their Chappaqua, New York, home. Meanwhile, her two 'Scooby' campaign vans got some TLC of their own at a local body shop, where they were also hand washed. The aspiring leader of the free world and her husband were spotted wearing blue ball caps - Hillary's bearing the Clinton Foundation logo- and matching dark blue shirts as they soaked in the sun and walked hand-in-hand through a nearby park. Mrs Clinton will hit the campaign trail again today in New Hampshire, where she'll hold a round table at a family-owned business this afternoon. She'll participate in another tomorrow morning at a community college during her two-day swing through the Granite State. Scroll down for videos . EXCLUSIVE: Hilary Clinton and husband Bill go for a stroll while holding hands in a park in Chappaqua, New York. The aspiring leader of the free world and her husband were spotted wearing blue ball caps - Hillary's bearing the Clinton Foundation logo - and matching dark blue polo shirts as they soaked in the sun . CHECK-UP: The Scooby vans had made the 1,000 miles trip back from Iowa since Hillary flew home commercial last week . SPARKLING: The secret of keeping the Scooby fleet immaculate is regular washing . TUNE-UP: Clinton's presidential campaign prepared to hit the road again on Saturday, taking the two armored Scooby vans to a car shop for inspection . Mrs. Clinton will hit the campaign trail again today in New Hampshire, where she'll hold a round table at a family-owned business this afternoon . Clinton is seen here on Saturday, walking with her Secret Service agent. She's currently on a two-day swing through the Granite State . Clinton starts the second leg of her endeavor to win the vote of 'everyday' Americans on the heels of a news report showing she makes more money for an hour's worth of work than the country's top CEOs. The former secretary of state was banking $300,000 for paid appearances before she ditched the speaking circuit for an offensive on the White House. The average CEO's hourly rate is $54,213, the Washington Examiner, pointed out. She makes more on the days she's paid a premium to give remarks than big wigs of the likes of Ralph Lauren, Kinder Morgan Energy Partners co-founder Richard Kinder and former Vornado president and CEO Michael Fascitelli. Taken in the context of a full work week, though, Clinton's rate drops far below what corporate heads are hauling in. She receives checks for just over a tenth of what America's highest paid CEO, John Hammergren of medical supply company McKesson Corporation, earns in a week. Bill joined her for the outing and walked alongside her with his Secret Service agent . First Scooby tour: Vans made return trip after Hillary left on Wednesday and were in Chappaqua on Saturday . A multimillionaire who has spent the better part of the last two and a half decades living in Washington, D.C. and",cnndm,"Hillary Clinton and her husband enjoyed a walk in a park near their home in Chappaqua, New York, while their 'Scooby' campaign vans received maintenance at a local body shop. Clinton will continue her campaign in New Hampshire, holding a round table at a family-owned business and a community college. The former secretary of state has been criticised for charging $300,000 for speaking appearances, a wage higher than that of America's top CEOs.","Hillary Clinton enjoyed a walk with husband Bill on Saturday afternoon wearing matching blue ball caps and dark blue polo shirts, whilst her two campaign vans were being looked after at a local body shop. The two-day break had to come to an end and she resumed her campaign on Sunday when she held a round table meeting in New Hampshire at a family-run business. Hilary will be hoping to win the vote of ""everyday"" Americans despite an article revealing that she makes more money than the country's top CEOs."
6,"A heavily armed Algerian jihadi who was preparing to attack churches in Paris on the orders is in custody this morning after being implicated in the murder of a young woman. The 24-year-old, named locally as Sid Ahmed Ghlam, had shot himself in the leg before his arrest by anti-terrorist officers in the 13th arrondissement in southern Paris on Sunday. This afternoon the Paris prosecutor said police found Arabic documents mentioning ISIS and Al Qaeda at the IT student's home, as well as evidence on his computer that he was in contact with a man in Syria 'who clearly asked him to target a church.' Sunday's arrest came just hours after the murder of Aurelie Chatelain, a 33-year-old mother and fitness instructor, who was riddled with bullets as she sat in her car in a car park in the Paris suburb of Villejuif. Investigators reportedly claim DNA evidence links Ghlam to her murder. Scroll down for video . Sid Ahmed Ghlam (pictured) had shot himself in the leg before his arrest by anti-terrorist officers . Killed: DNA evidence also reportedly links Ghlam to the murder of Aurelie Chatelain (pictured left and right), a 33-year-old mother and fitness instructor who shot dead in her car in a Paris suburb on Sunday morning . Gathered: This is the student residence where Sid Ahmed Ghlam - a 24-year-old computer science student suspected of plotting imminent attacks on churches in France - had reportedly been living . French Interior Minister Bernard Cazeneuve today said: 'A terrorist attack was foiled on Sunday morning.' 'The police discovered an arsenal containing weapons of war, and a suspect was immediately taken into custody.' Victim: DNA tests reportedly link the arrested man to the murder of Ms Chatelain (pictured) on Sunday . Mr Cazeneuve said the suspect was found on a street in the 13th arrondissement of Paris with a bullet in his leg, and bleeding heavily. He originally claimed to be the victim of an attack by criminals, but officers followed the trail of blood to his car, where they found a Kalashnikov assaultrifle, and a Sig-Sauer automatic pistol. There were also stolen police armbands which would enable him to pose as a plain clothes officer. In Ghlam's student accommodation, detectives later found three automatic rifles, handguns, and bulletproof vests. There were also Jihadi flags and literature, false passports, and plans for attacks on 'one or two' churches in the Paris area. DNA analysis reportedly linked the arrested man to the murder of Ms Chatelain, who was originally from Caudry, in northern France. The arrested man was an Algerian national studying computer science in Paris, and was known to the intelligence services. The man had been considered a likely candidate to travel to Syria to fight with the Islamic State terrorist organisation, said Mr Cazeneuve, and was officially under surveillance. Tragic: Ghalm's arrest came just hours after the murder of Aurelie Chatelain (pictured), a 33-year-old mother and fitness instructor, who was riddled with bullets as she sat in her car in the Paris suburb of Villejuif . Statement: French Prime",cnndm,"An Algerian jihadi who was planning to attack churches in Paris has been arrested after being implicated in the murder of a young woman. Police found weapons, jihadi flags and literature, false passports, and plans for attacks on one or two churches in the Paris area in his student accommodation. The man, named as Sid Ahmed Ghlam, had previously been flagged as a likely candidate to fight with ISIS in Syria.","An Algerian jihadi, Sid Ahmed Ghlam, was arrested in southern Paris on Sunday after being implicated in the murder of a young woman and reportedly being about to attack one or more churches in Paris on orders. Ghlam had shot himself in the leg before he was arrested and DNA evidence reportedly links him to the murder of Aurelie Chatelain, the 33-year-old mother and fitness instructor who was shot in her car in a car park in the suburb of Villejuif.<br><br>"
7,"It's described as the Google-esque HQ of Australia. With a cubby-house meeting room at the top of a beanstalk and a basketball court and pinball machine for some down time - it's where all the creativity and innovative ideas come to light. Inside the HQ of global company Moose Toys, the Cheltenham office in Melbourne comes complete with toy testing rooms, table tennis table, aerobics room, gym and a custom staff lunch room. Staff can scribble their ideas on walls made out of whiteboards while the Employee of the Year gets a gold crown and cape as well as a free holiday of their choice. But there's one catch for their employees - they're not allowed to sit at their desks when they're having lunch as they believe the great ideas don't always come from sitting in front of a computer. The first of its kind: A meeting room located at the top of a beanstalk in the office foyer at Moose Toys HQ . Moose Toys employees Joost Poulus (left) and Kate Zahra putting the table tennis table through its paces . General manager of products Joost Poulus, who has worked at the company for 14 years, said the vibrant and creative space brought out the best ideas from employees. 'We're the Google of Australia and that's how we see ourselves,' Mr Poulus told Daily Mail Australia. 'Our passionate staff are committed to The WOW and they love not just the toys but also the environment and the people they work with - and that's what we're all about. 'We encourage our employees to have fun, be active and take part in vigorous debates because that's where all the best ideas and awesome products come from.' During lunch or breaks, staff are encouraged to use their time away from their desks to mingle with other colleagues, play table tennis stretch or shoot a few hoops outside. It's time to get your creative thinking caps on inside the cubby house at the top of the beanstalk . Employees at Moose Toys said the company is all about putting smiles on the faces of kids across the globe . The house at the top of the beanstalk space where all the creative brainstorming and ideas come to light . The beanstalk was designed by a Moose employee and constructed by the Local Builder . Senior manager - People & Culture, Kate Zahra, who has worked at the company for six years, said the focus on fun helps employees feel less pressured about deadlines or major projects. 'Most of our employees prefer to work during the day but when they feel frazzled from working hard on a project, we encourage them to go for a walk, play some basketball, or have a game of table tennis,' Ms Zahra told Daily Mail Australia. 'We also get together outside of office hours for karaoke nights, themed dress-up parties and weekly soccer games with our very own personalised Moose jerseys - collaboration with others and a change of scenery makes a huge difference. 'On special events such",cnndm,"Moose Toys has a Google-esque HQ in Melbourne complete with a cubby-house meeting room, toy testing rooms, table tennis table, aerobics room, gym and a custom staff lunch room. The company encourages staff to have fun, be active, and take part in debates to generate the best ideas for its products. Moose Toys has a focus on fun to help its employees feel less stressed and hold events such as karaoke nights and themed dress-up parties, in addition to weekly soccer games.","Australian global company, Moose Toys, boasts Google-esque headquarters complete with a custom staff lunchroom, toy testing rooms, table tennis table, aerobic room and gym. Employees scribble ideas on whiteboards and an Employee of the Year prize includes a gold crown, cape and free holiday. The company encourages fun, activity and debate among employees during breaks and outside of office hours."
8,"Chelsea are weighing up a move for West Ham striker Enner Valencia. Jose Mourinho earmarked the Ecuador forward in January as he chased Juan Cuadrado and Douglas Costa from Shakhtar and is ready to revive that interest this summer. Chelsea have been weighing up various strikers with Loic Remy struggling to maintain fitness and Didier Drogba turning 37 last month. Enner Valencia (left) is a transfer target for Chelsea and they could move for the Ecuadorian in the summer . Chelsea are offering a new contract to Patrick Bamford but he will go out on another loan. The 21-year-old has scored 17 league goals for Middlesbrough as they chase promotion to the Premier League. Bamford, who began his career with Nottingham Forest, currently earns £7,500 a week, but Chelsea will significantly improve on that as part of his new package. He has just over a year left on his deal at Stamford Bridge and Chelsea are keen to tie him down to a new contract. Bamford has impressed the Chelsea hierarchy during loan spells at MK Dons, Derby and current side Middlesbrough. Patrick Bamford has been a huge success at Middlesborough and Chelsea have offered him a new deal . Boro boss Aitor Karanka will be hoping Bamford can inspire his side to promotion during the final three games of the Championship campaign. The Riverside Stadium outfit take on promotion rivals Norwich on Friday evening before facing Fulham and Brighton. Valencia cost West Ham £12m and signed a five year contract. He has scored five goals this season but has been used as a winger too and has only scored one goal in the Premier League since the turn of the year . Chelsea have an interest in Liverpool's Raheem Sterling but know it will prove a difficult deal to do. Valencia has found goals hard to come by for West Ham but has also been played out wide . Raheem Sterling (left) is a known target for Jose Mourinho's side but they know it will be tough to get him .",cnndm,"Chelsea are considering a summer move for West Ham striker Enner Valencia. With Loic Remy suffering from fitness issues and Didier Drogba turning 37 last month, the club is looking for a new forward. Chelsea are also offering a new contract to Patrick Bamford, who has impressed the club's hierarchy during his loan spells, but he will go out on another loan.","Chelsea are considering West Ham striker Enner Valencia as a transfer target for the summer, as Jose Mourinho looks to bolster his attacking options. At the same time, Chelsea are offering a new contract to Patrick Bamford, who has impressed on loan at Middlesbrough this season. Mourinho is also interested in Liverpool's Raheem Sterling, but acknowledges that securing his services would be difficult."
9,"Arsenal legend Paul Merson has been forced into an embarrassing climbdown and admitted he was wrong to criticise the England call up for Andros Townsend. The Tottenham winger came off the bench to score the equaliser with a stunning strike in Tuesday's 1-1 draw with Italy in Turin. It was the perfect riposte after Merson said in his Sky Sports column: 'If Andros Townsend can get in (the England squad) then it opens it up for anybody.' Andros Townsend scores England's equaliser in their 1-1 friendly draw with Italy in Turin on Tuesday night . Townsend celebrates his strike with Tottenham Hotspur team-mates Ryan Mason (left) and Kyle Walker . In his column for skysports.com, Merson wrote: 'If Andros Townsend can get in then it opens it up for anybody. We are not picking players who are playing well for their clubs – he got taken off after 30 minutes the other week against United. 'The England manager is there watching the game and he still gets picked. Townsend and Kyle Walker were the worst two players on the pitch. 'How can you tell me that a manager goes and watches Man United against Tottenham, the winger gets taken off after 30 minutes, the winger from the other team absolutely rinses the full-back for England and Ashley Young doesn't get in the squad?' Townsend later tweeted to his 285,000 followers: 'Not bad for a player that should be 'nowhere near the squad' ay @PaulMerse?' And Merson insisted on Wednesday he was pleased to be proven wrong by the 23-year-old. Merson told Sky Sports: 'It's just a matter of opinion, and my opinion was that he got pulled off after half an hour at Manchester United in front of Roy Hodgson, so he shouldn't have been in the squad. 'But fair play to him, I only give my opinion, and sometimes I'm wrong, other times I'm right. 'When I'm wrong, I hold my hands up. I don't have a problem with doing that - I'll always be the first to admit when I'm wrong. 'It's not as though I was watching hoping he wouldn't score for England, I'm genuinely pleased for him and fair play to him – it was a great goal. 'But I don't feel as though I need to defend myself – it's my job to give my opinion – and I'm just glad people actually take notice of what I'm saying!' Sky Sports pundit Paul Merson (centre) criticised Townsend's call-up to the England squad last week . Harry Kane congratulates his Tottenham team-mate Townsend after the final whistle in Turin . Roy Hodgson was also impressed with Townsend after the Tottenham winger's fine goal after the break .",cnndm,"Former Arsenal footballer Paul Merson has admitted that he was wrong to criticise England's Andros Townsend, following his goal at Tuesday's match against Italy. Merson had stated that if Townsend could be in the team, ""it opens it up for anybody"", having previously been taken off after 30 minutes during a match. Townsend has since tweeted Merson to say “not bad for a player that should be ‘nowhere near the squad’ ay @PaulMerse?”.","Former Arsenal player, Paul Merson, has admitted he was wrong to criticise the England call up of Andros Townsend, after the Tottenham winger came off the bench to score the equaliser in a match against Italy. In his Sky Sports column, Merson said: “If Andros Townsend can get in [the England squad] then it opens it up for anybody”, but has now admitted his mistake saying: “When I’m wrong, I hold my hands up”. Townsend responded to criticism with a tweet to his 285,000 followers: “Not bad for a player that should be ‘nowhere near the squad’ ay @PaulMerse?”
"
