,Unnamed: 0,article,dataset,Faithful Summary,Generic Summary,summ_id
0,0,"With three defeats in his previous six bouts, the Scottish boxer's career seemed to be on the wane. But his power, timing and focus returned in a supremely confident display at Glasgow's Hydro on Saturday night as he clinched the vacant WBA World Super-Lightweight title - and entered the record books as the first Scot to win world titles at three weights. Italy's Michele Di Rocco, at 34 a year older than Burns, hadn't lost a fight since September 2007. He arrived with a record of 40 wins and a draw from 42 bouts. He left a lesser figure. The referee deemed the man from Assisi to be in no state to continue in the eighth round, the result of a welter of blows to his head and body and made all the more unbearable by the hostile acoustic energy generated by 8,000 Scottish fans. Surely, for Burns, this was time to shout about his record, the ideal moment to counter all those who had written him off and questioned the wisdom of him leaving trainer Billy Nelson two years ago to work with Tony Sim in Essex? No. Instead, the champion spoke of his disbelief at the ease of his victory, his gratitude that he was safe, of his thanks to promoter Eddie Hearn, manager Alex Morrison and coach Sim for believing in him, and of his desire to celebrate with a fast-food burger and 20 chicken nuggets. ""When I got in the ring after the fight, I said, 'You've done it! You've done it!',"" reported a beaming Hearn at the post-fight media conference. ""And you know what Ricky said? 'Can you get a picture with me and Michael Buffer [the legendary American boxing ring announcer]?'"" When he has time to reflect during a well-earned holiday, Burns will take immense satisfaction at being only the third British-born fighter, after Bob Fitzsimmons and Duke McKenzie, to be a three-weight world champion. In Scottish terms, his achievements must mean that he is in the very top tier of boxing greats, comfortably mentioned in the same breath as former world champions Benny Lynch, Walter McGowan, Jackie Paterson, Ken Buchanan and Jim Watt, for example. Burns' record stands at 40 wins from 46 bouts. Remarkably, 11 of those have been world title fights. Buchanan's exploits in the United States add lustre to his legacy, but while Burns may never have fought someone like Roberto Duran, should Hearn manage to set up a bout against Cincinnati's Adrien Broner, the four-time world champion stripped of the WBA title because he could not make the weight, then Burns could achieve little more in the sport. ""There are some big fights out there for me,"" said Burns. ""I want to fight the top names. I will fight anybody. I do super-lightweight comfortably and lightweight is still an option. I would fight Terence Crawford again if it came down to it. ""That's nearly two years I have been with Tony and things have just started clicking. ""I had a bit of a bad run in the last year with stuff.",xsum,"Scottish boxer Ricky Burns has become the first Scot to win world titles at three weights after clinching the vacant WBA World Super-Lightweight title in Glasgow, with a stunning display against Italy’s Michele Di Rocco, despite previously suffering three defeats in his previous six bouts.","Scottish boxer Ricky Burns has won his third world title and became the first Scot ever to win world titles at three weights, after clinching the vacant WBA World Super-Lightweight title in Glasgow on Saturday night.",bcb74d62d4ea11edaf5f1b63c3919b11
1,1,"The 25-year-old man reportedly calls himself Harald Hitler. The man, sporting a side parting and a trademark moustache, had been seen having his photograph taken outside the house in Braunau am Inn in which Adolf Hitler was born. The lookalike had recently moved to the town on the German border, police spokesman David Furtner told the BBC. Mr Furtner said this was not a joke or a piece of performance art. ""The young man knows exactly what he is doing,"" the police spokesman said. He said the man had also been spotted in Vienna and Graz. Pictures of the man were published by Austria's Heute.at news website on Monday. Glorifying the Nazi era is a crime in Austria. Last October, the Austrian authorities decided to demolish Hitler's birthplace house to stop it becoming a focal point for neo-Nazis. Hitler was born in a rented room on the top floor of the building on 20 April 1889. During Nazi rule, the house was transformed into a shrine to Hitler as the town drew in a wave of tourists. But as the Nazis began to lose control in 1944, it was shut.",xsum,"A man believed to be in his mid-20s has been seen walking around the Austrian town of Braunau am Inn with a Hitler-style moustache and side parting, posing for photographs outside the house in which the dictator was born, with a police spokesman telling the BBC that ""The young man knows exactly what he is doing."" 
","A 25-year-old man named Harald Hitler has been seen in Austria's Braunau am Inn where Adolf Hitler was born, dressed to look like Adolf Hitler and having his photo taken outside the former Nazi leader's birthplace, however glorifying the Nazi era is a crime in Austria.",bcb74f88d4ea11edaf5f1b63c3919b11
2,2,"Kamal C Chavara was detained by the police in Kerala state on Sunday after the youth wing of the Hindu nationalist BJP lodged a complaint against him. Last month, the Supreme Court ruled that the anthem must be played in every cinema before a film is screened. Some 20 people have been held in Kerala and Tamil Nadu since then for remaining seated during the anthem. Also, India's colonial-era sedition law has been often used against students, journalists, writers and social activists and those critical of the government. Reports said that the BJP's youth wing lodged a complaint against a Facebook post by Mr Chavara which allegedly insulted the anthem. The post was apparently an excerpt from one of his books. Senior police official Sateesh Bino told the NDTV news channel that the writer-activist ""is being questioned for his controversial post on the national anthem on Facebook"" and had been charged with sedition. Earlier this month, 12 people were arrested at a cinema in Kerala, after they remained seated while the national anthem played. The cinemagoers, who were attending an international film festival, were later freed but they face charges of ""failure to obey an order issued by a public servant, thereby causing obstruction or annoyance to others"". And at a cinema in Chennai, eight people who did not stand for the anthem were assaulted and abused, police said. The eight were later charged with showing disrespect to the anthem.",xsum,"Indian writer-activist Kamal C Chavara has been detained on charges of sedition and insulting the national anthem in a Facebook post, following a Supreme Court ruling that requires the anthem to be played before every cinema screening, resulting in the arrest of 20 people for remaining seated during the anthem.","An Indian writer-activist has been detained and charged with sedition for allegedly insulting the national anthem in a Facebook post after the country's Supreme Court ruled that the anthem must be played in every cinema before a film is screened, with over 20 people detained in Kerala and Tamil Nadu since then for remaining seated during the anthem.",bcb75046d4ea11edaf5f1b63c3919b11
3,3,"Mr Roache, who is secretary of the union's Yorkshire region, won 56.7% of the vote, while the only other candidate, Paul McCarthy, from the North West region, had 43.3%. The union is the third largest in the UK with more than 600,000 members. Current general secretary Paul Kenny announced in the summer he was standing down after almost a decade in the job. Mr Roache has 35 years experience at the GMB and led the Leeds City Council 13-week refuse and street cleaning strike in 2009 - the longest in the union's history. He said he was ""proud and humbled"" to have been elected. ""I will repay GMB members' faith in me by leading a 21st Century union that fights for our members, their families and communities, every hour of every day."" Mr Roache also paid tribute to Mr Kenny for his work ""that has made GMB the envy of the union movement"". Details of the handover date have yet to be agreed. The GMB is one of the three largest affiliates to the Labour Party and is a significant financial contributor to the party locally and nationally.",xsum,"Tim Roache has been elected as the new general secretary of the GMB union, succeeding Paul Kenny who announced his departure earlier this year after almost a decade in the role.","Tim Roache has been elected as the new general secretary of the GMB union, the third largest in the UK with over 600,000 members, replacing current general secretary Paul Kenny, after almost a decade in the job, paying tribute to Kenny's work, and becoming a significant financial contributor to the Labour Party locally and nationally.",bcb750d2d4ea11edaf5f1b63c3919b11
4,4,"The group, reported to be three men, two women and four children aged from two to 11, was held at Reyhanli, in Hatay province, near the Syrian border. Their intention in travelling to the region, where areas are controlled by Islamic State (IS) militants or an al-Qaeda affiliate, is not clear. The Foreign Office has said it is in contact with the Turkish authorities. The BBC's Mark Lowen said the information about the ages of the children had not been independently verified and it was too early to know where the group were intending to head to. ""Were they heading for one of the more moderate groups in Syria. Were they heading for the area controlled by al-Nusra, the al-Qaeda affiliate? Or were they heading to so-called Islamic State territory?"" he said. The group was taken to a police station in southern Turkey overnight, and then sent to the foreigners department awaiting deportation to the UK. They have undergone medical examinations and had their finger-prints taken. The United Nations estimates the number of foreign fighters joining militant groups is more than 25,000, from 100 different nations. About 600 Britons are believed to have gone to Syria or Iraq since IS seized control of large swathes of territory there. Most are thought to have volunteered as fighters for the militant Islamist group. Around half are believed to have later returned to the UK, the Metropolitan Police has said. The latest detentions come two weeks after three British teenagers were stopped from travelling into Syria from Turkey. The three - two aged 17 and one 19, from north-west London - were arrested following a tip-off from British police and flown back to the UK. They have since been released on police bail. They had flown to Turkey from Barcelona and were arrested at Sabiha Gokcen airport in Istanbul. Fadi Hakura, Turkey analyst for Chatham House, told BBC Radio 4's Today programme the recent arrests showed the Turkish government was ""taking more effective measures to control the flow of fighters and supporters into Syria"". He said there was now ""more enhanced security and intelligence cooperation between Turkey and its Western counterparts, especially with the exchange of names that Turkey needs to prohibit [IS supporters] from crossing into Syria"". The Turkish government has said it cannot make a 560-mile border watertight and will act when it has prior warning. In February this year there were recriminations between British police and Turkish officials after three London schoolgirls disappeared from Turkey, apparently having crossed the border into Syria. Shamima Begum, Amira Abase, both 15, and Kadiza Sultana, 16 had flown to Istanbul and travelled to the border region. Turkish officials said they had not been warned promptly enough by British police to intercept them - Scotland Yard denied this.",xsum,"A British family, including four children aged two to 11, has been detained in Turkey near the border with Syria, as authorities seek to control the flow of foreign fighters to jihadist groups in the region.&nbsp;","A group of nine Britons, including four children aged between two and 11, have been detained while attempting to cross the Turkish-Syrian border in an attempt to join ISIS or al-Qaeda, and are now awaiting deportation back to the UK.
",bcb751f4d4ea11edaf5f1b63c3919b11
5,5,"Transactions carried out in European markets were previously recorded in Luxembourg, with which Amazon had a low-tax agreement. Now sales made through subsidiaries in the UK, Germany, Spain and Italy will be registered in those countries, the retailer has said. Amazon had received heavy criticism for its tax avoidance policies. ""More than two years ago, we began the process of establishing local country branches of Amazon EU Sarl, our primary retail operating company in Europe,"" the company said in a statement. ""As of 1 May, Amazon EU Sarl is recording retail sales made to customers through these branches in the UK, Germany, Spain and Italy. ""Previously, these retail sales were recorded in Luxembourg."" Amazon added that it was ""working on opening a branch for France"". In recent years, the European Union has intensified its investigations into the tax deals negotiated by global companies with countries such as Ireland, Luxembourg and the Netherlands. It suspects that such deals amount to illegal state aid and distort competition. Last year, the European Commission - the EU's executive arm - launched a formal investigation into Amazon's tax arrangements with Luxembourg. And the EU is also looking into tech giant Apple's tax dealings in Ireland, coffee-shop chain Starbucks' dealings in the Netherlands, and Italian carmaker Fiat's agreement with Luxembourg.",xsum,"Amazon is changing its tax policy in Europe, with sales made through subsidiaries in the UK, Germany, Spain and Italy being registered in those countries, rather than in Luxembourg as in the past, in response to criticism of the company's previous tax avoidance policies.","Amazon will no longer record sales made through their subsidiaries in Europe in Luxembourg, under criticism for tax avoidance policies, but instead recorded in the UK, Germany, Spain and Italy, with France to follow, amid EU investigations into tax deals negotiated by multinational companies with countries such as Ireland, Luxembourg and the Netherlands.",bcb7526cd4ea11edaf5f1b63c3919b11
6,6,"Asghar Buksh, 55, repeatedly struck mother-of-six Nasreen Buksh over the head with a heavy blunt object which has never been found. He admitted culpable homicide on the basis of diminished responsibility after saying he had no recollection of the killing at Dixon Avenue, Glasgow, on 24 September last year. Buksh will be sentenced on 27 June. The High Court in Glasgow heard that 43-year-old Mrs Buksh died after being struck on the head at least five times. Pathologists told the court that the lack of defensive injuries and the position of her body suggested she was assaulted as she slept. Following the attack, Buksh went to Cathcart Police Station and told an officer: ""I've come to hand myself in. I think my wife's dead. I hit her on the head. I did it."" The court was told that three psychiatrists described Buksh as suffering from an acute stress disorder at the time. Prosecutor Gordon Lamont said: ""The accused and his wife had been married for 25 years, but over the last 10 or 11 years their relationship appears to have broken down and they became increasingly estranged, albeit, still residing under the one roof. ""They slept separately and Mrs Buksh routinely slept on the sofa in the living room. Their children report that they barely spoke to each other."" Mr Lamont said the problems in the marriage intensified after Mrs Buksh went to Pakistan on holiday in May last year. He said she had become involved with another man and was making plans to move to Pakistan. The court also heard that two days before he killed his wife, Buksh went to Paisley Police Office and spoke with a support officer saying he feared his wife was going to take their youngest child, aged 10, to Pakistan and not return. He also made an emergency doctor's appointment and said he was suffering from stress and not sleeping. He was prescribed medication for stress. Defence counsel Sarah Livingstone said: ""My client has no memory of this incident. His amnesia is absolutely genuine. ""This is not a case where this man was a bad husband, there was no domestic abuse. This was an unhappy marriage, but however, unhappy it was it didn't justify killing his wife. ""He suffered an acute stress reaction. Three psychiatrists all agree that he was suffering from an abnormality of the mind."" Judge Lord Burns deferred sentence on Buksh until 27 June at the High Court in Edinburgh for background reports.",xsum,Asghar Buksh will be sentenced on 27th June after admitting to killing his wife on the basis of diminished responsibility due to an acute stress disorder.,"Asghar Buksh has admitted to killing his wife Nasreen Buksh on 24 September last year in Glasgow and will be sentenced on 27 June, with the court being told that the couple’s tense relationship had become increasingly estranged, with their children revealing days before her death that Nasreen was planning on taking their youngest child to live in Pakistan and not return.",bcb752dad4ea11edaf5f1b63c3919b11
7,7,"The man, who was from Staffordshire, collapsed while riding on the A5 near Chirk, Wrexham, at about 10:45 BST on Sunday. He had been raising money for the Douglas Macmillan Hospice. North Wales Police said officers attended, along with a road and air ambulance, and tried to help members of the public to save the cyclist. ""I am very sad to say that their efforts were not successful,"" temporary Supt Nick Evans said. Douglas Macmillan Hospice - known as Dougie Mac - is a specialist palliative care provider in north Staffordshire for adults, the majority of whom are affected by cancer. A number of charity bike rides for the hospice were being held on Sunday taking in routes from Stoke-on-Trent to Llangollen and back.",xsum,"A man raising money for the Douglas Macmillan Hospice collapsed and died while cycling in Wrexham, despite efforts from emergency services and members of the public to save him.","A man cycling to raise money for the Douglas Macmillan Hospice collapsed and died on the A5 near Chirk, despite efforts by emergency services to save him, while multiple charity bike rides for the hospice were being held on Sunday.",bcb75348d4ea11edaf5f1b63c3919b11
8,8,"Steven Maclean bundled home the opener five minutes before half-time. The hosts, slacker after the break, had beleaguered striker Larnell Cole sent-off after he confronted the referee. Liam Craig sealed the win from the penalty spot with two minutes to play, before Graham Cummins finished a sumptuous stoppage-time move. And things got worse still for Caley Thistle after the match, with captain Gary Warren shown a red card in the tunnel. Saints remain five points clear of Hearts in fourth place, and closed the gap on third-placed Rangers, who play Aberdeen on Sunday, to three points. With game after game ticking past, Inverness' position looks increasingly perilous. Next weekend's trip to Motherwell, second-bottom on goal difference, is now seismic. This contest turned nightmarish for the hosts after a bright opening, but the truth is, given their predicament, Caley Thistle did not threaten St Johnstone's goal enough. Billy Mckay sent a shot over from close range. Alex Fisher nodded a diving header wide. Carl Tremarco miscued a volley. Greg Tansey did draw a save from Alan Mannus when he rasped in an effort from outside the box, but Richie Foran's side never looked likely to find the net. Their best opportunity came immediately after the Saints went ahead, when Tansey fed Cole, who seemed to panic in a terrific position and shot straight at Mannus. Cole's dismissal ended the contest when he appeared to be cautioned twice for challenging referee Stephen Finnie's decision not to award a foul. St Johnstone were merciless and could have had more. With just one win from their last 21 league games, Inverness look deep in trouble. Tommy Wright's side deserve so much credit. Saints were tactically brilliant, so strong defensively and ruthlessly capitalised on their man advantage. They took one of their few first-half chances when Michael Coulson broke down the left and sent a dangerous ball across the six-yard box. Owain Fon Williams could only parry into the danger area, Cummins' shot was blocked but Maclean followed up to force it home. They should have had another when Craig's superb curling corner flew all the way to the back post where Cummins slid in and somehow knocked it over from two yards. Craig, in his 300th appearance for the club, coolly converted a spot-kick after Cummins was tripped to seal the points. Cummins then slammed home after Miller danced around the area to tee him up, before Craig cracked the bar amid the late flurry. With a tendency to finish the season strongly, and just a three-point gap to Rangers, the Perth side look capable of something special this term. Inverness CT manager Richie Foran: ""It is a tough time of the season to be sitting bottom, and I need real men to stand up to that, but not enough of them did that today. ""It is pure luck we are still in it and it is only four points. I sound like a broken record but one win changes it - that is the truth. But I need braver players with more passion and desire.",xsum,St Johnstone secured a 3-0 victory over Inverness CT who remain in serious danger of relegation from the Scottish Premiership.,"St Johnstone secured a 3-0 victory over Inverness Caledonian Thistle during a match in which only 10 men were left on the losing side in the closing stages, with Saints' captain Gary Warren shown a red card in the tunnel following the match; the loss means Inverness look in deep trouble following only one win from the last 21 league games.
",bcb753b6d4ea11edaf5f1b63c3919b11
9,9,"Fifty people were on the First Great Western rail replacement service from Oxford to Didcot when it was hit at Drayton, at 00:30 GMT. One of the three people taken to hospital sustained serious but non life-threatening injuries, police said. The southbound carriageway has been reopened but investigations are continuing. The remaining passengers, who did not require hospital treatment, were taken to Abingdon police station. Passenger Rebecca Crow posted a picture of her injuries on Twitter and wrote: ""I was on the bus, it was insane. Very thankful for no fatalities; just a bust up face!"" The bus was a replacement for the 00:05 First Great Western service from Oxford to Didcot. Bus passenger Adam Graves said on Twitter: ""One moment the bus power failed, a minute or 2 later the lorry hit us. Bus ended up part down the embankment. #a34"" He later told BBC News: ""It sort of jumped forward. There were people screaming inside. ""Then you suddenly noticed you're falling out of your seat - everyone was flying everywhere. ""Once that initial shock had passed people were quite calm. ""A lot of people on the bus had been coming back from a gig in Oxford, that's where I'd been, that kept people calm as a few recognised each other."" In a statement, a First Great Western spokesman said the firm was ""keen"" to offer support to all of the bus passengers and their families. He said initial reports from its own contractor ""suggest the driver followed correct safety procedures"", but added police were investigating. ""We are offering them any assistance we can to understand the full details of the incident,"" he said. The A34 was shut between the Botley and Milton interchanges. It had been due to reopen at 11:00 but was delayed due to difficulties in recovering the vehicles, police said. Officers on site were having problems earlier with drivers ignoring the closure and driving through, according to BBC Radio Oxford travel reporter Sara Dumbell. She said diversions had also led to lengthy traffic delays in the area.",xsum,"A lorry collided with a rail replacement bus service near Oxford on 24 September, injuring three people, prompting an investigation by police and causing the A34 motorway to remain shut for 12 hours.","A First Great Western rail replacement bus service crashed on the A34 in Drayton at 00:30 GMT, injuring three people who were taken to hospital, and causing delays on the road due to a recovery operation of the vehicles; investigations are continuing.",bcb7542ed4ea11edaf5f1b63c3919b11
